sid,stimfile,eye_used,trialid,n_fix_trial,sum_fix_dur_trial,dwell_time_trial,mean_fix_dur_trial,n_sacc_trial,sum_sacc_dur_trial,mean_sacc_dur_trial,mean_sacc_ampl_trial,ratio_progress_regress_trial,n_between_line_regress_trial,n_within_line_regress_trial,n_regress_trial,n_progress_trial,n_transit_trial,aoi,aoi_kind,content,dwell_time_aoi,n_fix_aoi,sum_fix_dur_aoi,mean_fix_dur_aoi,skipped_aoi,n_fix_first_visit_aoi,first_fix_dur_aoi,first_fix_land_pos_aoi,dwell_time_first_visit_aoi,sum_fix_dur_first_visit_aoi,sum_fix_dur_after_first_visit_aoi,dwell_time_rereading_aoi,n_revisits_aoi,task
1058,s7_stimuli_t4.jpg,b,158,157,44540.164000001736,51155.52600000007,283.6953121019219,156,7243.275999998907,46.431256410249404,138.15289897024596,4.130434782608695,0,23,23,95,118,line_001,line,,6235.123000000138,22,10638.36400000006,483.5620000000027,0,22,148.02900000009686,0.10166666666666667,6235.123000000138,5319.18200000003,0.0,0.0,0,T4_Meaningful_Text
1058,s7_stimuli_t4.jpg,b,158,157,44540.164000001736,51155.52600000007,283.6953121019219,156,7243.275999998907,46.431256410249404,138.15289897024596,4.130434782608695,0,23,23,95,118,line_001-part_001,subline,Malý,0.0,0,0.0,0.0,1,0,0.0,,0.0,0.0,0.0,0.0,0,T4_Meaningful_Text
1058,s7_stimuli_t4.jpg,b,158,157,44540.164000001736,51155.52600000007,283.6953121019219,156,7243.275999998907,46.431256410249404,138.15289897024596,4.130434782608695,0,23,23,95,118,line_001-part_002,subline,Pepík,1055.908000000054,4,2047.8120000003837,511.9530000000959,0,4,148.02900000009686,0.27058823529411763,1055.908000000054,1023.9060000001919,0.0,0.0,0,T4_Meaningful_Text
1058,s7_stimuli_t4.jpg,b,158,157,44540.164000001736,51155.52600000007,283.6953121019219,156,7243.275999998907,46.431256410249404,138.15289897024596,4.130434782608695,0,23,23,95,118,line_001-part_003,subline,raději,428.002000000095,2,823.9860000000335,411.99300000001676,0,2,192.03200000012293,0.4461764705882348,428.002000000095,411.99300000001676,0.0,0.0,0,T4_Meaningful_Text
1058,s7_stimuli_t4.jpg,b,158,157,44540.164000001736,51155.52600000007,283.6953121019219,156,7243.275999998907,46.431256410249404,138.15289897024596,4.130434782608695,0,23,23,95,118,line_001-part_004,subline,četl,331.8859999999404,1,671.773999999743,671.773999999743,0,1,335.8869999998715,0.9785344827586206,331.8859999999404,335.8869999998715,0.0,0.0,0,T4_Meaningful_Text
1058,s7_stimuli_t4.jpg,b,158,157,44540.164000001736,51155.52600000007,283.6953121019219,156,7243.275999998907,46.431256410249404,138.15289897024596,4.130434782608695,0,23,23,95,118,line_001-part_005,subline,doma,191.99800000013784,1,391.99399999994785,391.99399999994785,0,1,195.99699999997392,0.8346296296296298,191.99800000013784,195.99699999997392,0.0,0.0,0,T4_Meaningful_Text
1058,s7_stimuli_t4.jpg,b,158,157,44540.164000001736,51155.52600000007,283.6953121019219,156,7243.275999998907,46.431256410249404,138.15289897024596,4.130434782608695,0,23,23,95,118,line_001-part_006,subline,knížky,236.07700000004843,1,480.15000000037253,480.15000000037253,0,1,240.07500000018626,0.5415151515151505,236.07700000004843,240.07500000018626,0.0,0.0,0,T4_Meaningful_Text
1058,s7_stimuli_t4.jpg,b,158,157,44540.164000001736,51155.52600000007,283.6953121019219,156,7243.275999998907,46.431256410249404,138.15289897024596,4.130434782608695,0,23,23,95,118,line_001-part_007,subline,plné,0.0,0,0.0,0.0,1,0,0.0,,0.0,0.0,0.0,0.0,0,T4_Meaningful_Text
1058,s7_stimuli_t4.jpg,b,158,157,44540.164000001736,51155.52600000007,283.6953121019219,156,7243.275999998907,46.431256410249404,138.15289897024596,4.130434782608695,0,23,23,95,118,line_001-part_008,subline,"dobrodružství,",983.8089999996591,3,1943.6299999994226,647.8766666664742,0,1,351.87699999986216,0.04613281249999979,347.87799999979325,351.87699999986216,619.9379999998491,635.9309999998659,1,T4_Meaningful_Text
1058,s7_stimuli_t4.jpg,b,158,157,44540.164000001736,51155.52600000007,283.6953121019219,156,7243.275999998907,46.431256410249404,138.15289897024596,4.130434782608695,0,23,23,95,118,line_001-part_009,subline,než,0.0,0,0.0,0.0,1,0,0.0,,0.0,0.0,0.0,0.0,0,T4_Meaningful_Text
